a	ए	1
aa	आ	0
aabad	आबाद	0
aabadi	आबादी	0
aabha	आभा	0
aabhar	आभार	0
aabhas	आभास	0
aabhasi	आभासी	0
aabhav	आभाव	0
aabidi	आबिदी	0
aacharan	आचरण	0
aacharya	आचार्य	0
aad	आड़	0
aada	आडा	0
aadaab	आदाब	0
aadami	आदमी	0
aadamkhor	आदमखोर	0
aadarniy	आदरणीय	0
aadarpurvak	आदरपूर्वक	0
aadarsh	आदर्श	0
aadarshon	आदर्शों	0
aadat	आदत	0
aade	आड़े	0
aadesh	आदेश	0
aadeshaatmak	आदेशात्मक	0
aadeshanusar	आदेशानुसार	0
aadeshatmak	आदेशात्मक	0
aadeshon	आदेशों	0
aadha	आधा	0
aadhaan	आधान	0
aadhaar	आधार	0
aadhaarit	आधारित	0
aadhar	आधार	0
aadharit	आधारित	0
aadharshila	आधारशिला	0
aadhe	आधे	0
aadhikaarik	आधिकारिक	0
aadhikarik	आधिकारिक	0
aadhikya	आधिक्य	0
aadhipaty	आधिपत्य	0
aadhunik	आधुनिक	0
aadhyaatmik	आध्यात्मिक	0
aadhyatmik	आध्यात्मिक	0
aadhyatmikta	आध्यात्मिकता	0
aadi	आदि	0
aadikaal	आदिकाल	0
aadil	आदिल	0
aadim	आदिम	0
aadinath	आदिनाथ	0
aadishakti	आदिशक्ति	0
aadivasi	आदिवासी	0
aadivasiyon	आदिवासियों	0
aadmi	आदमी	0
aadmiyon	आदमियों	0
aadu	आडू	0
aadya	आद्य	0
aadyant	आद्यंत	0
aae	आए	0
aaega	आएगा	0
aaenge	आएंगे	0
aag	आग	0
aagaaj	आग़ाज़	0
aagam	आगम	0
aagami	आगामी	0
aagar	आगर	0
aage	आगे	0
aaghat	आघात	0
aagra	आगरा	0
aagrah	आग्रह	0
aagya	आज्ञा	0
aagyakarita	आज्ञाकारिता	0
aagyanusar	आज्ञानुसार	0
aahad	आहड़	0
aahar	आहार	0
aahat	आहत	0
aahista	आहिस्ता	0
aahuti	आहुति	0
aahvaan	आहवान	0
aahvan	आहवान	0
aai	आई	0
aaiae	आइए	0
aaina	आईना	0
aaine	आइने	0
aaj	आज	0
aaja	आजा	0
aajaad	आजाद	0
aajadi	आजादी	0
aajanma	आजन्म	0
aajeevan	आजीवन	0
aaji	आजी	0
aajivika	आजीविका	0
aajkal	आजकल	0
aajmane	आजमाने	0
aajtak	आजतक	0
aak	आक	0
aakaar	आकार	0
aakaaron	आकारों	0
aakalan	आकलन	0
aakanshi	आकांक्षी	0
aakar	आकर	0
aakaron	आकारों	0
aakarshak	आकर्षक	0
aakarshan	आकर्षण	0
aakarshit	आकर्षित	0
aakash	आकाश	0
aakashganga	आकाशगंगा	0
aakasmik	आकस्मिक	0
aakhar	आखर	0
aakhari	आखरी	0
aakhir	आखिर	0
aakhiri	आखिरी	0
aakhirkaar	आखिरकार	0
aakhirkar	आखिरकार	0
aakhya	आख्या	0
aakhyaanon	आख्यानों	0
aakhyan	आख्यान	0
aaklan	आकलन	0
aakraamak	आक्रामक	0
aakraant	आक्रांत	0
aakramak	आक्रामक	0
aakramakta	आक्रामकता	0
aakraman	आक्रमण	0
aakramankaari	आक्रमणकारी	0
aakramankari	आक्रमणकारी	0
aakramankariyon	आक्रमणकारियों	0
aakramanon	आक्रमणों	0
aakrant	आक्रांत	0
aakritiyon	आकृतियों	0
aakrosh	आक्रोश	0
aakrshan	आकर्षण	0
aakruti	आकृति	0
aakshep	आक्षेप	0
aaktriti	आकृति	0
aale	आले	0
aalekh	आलेख	0
aalekhon	आलेखों	0
aalochana	आलोचना	0
aalochnatmak	आलोचनात्मक	0
aalok	आलोक	0
aalot	आलोट	0
aalu	आलू	0
aam	आम	0
aamad	आमद	0
aamantran	आमंत्रण	0
aamantrit	आमंत्रित	0
aamashay	आमाशय	0
aamin	आमीन	0
aamir	आमिर	0
aamjan	आमजन	0
aamjanon	आमजनों	0
aamran	आमरण	0
aamtaur	आमतौर	0
aan	आन	0
aana	आना	0
aanan	आनन	0
aanand	आनंद	0
aanandilal	आनंदीलाल	0
aanandmayi	आनंदमयी	0
aanchal	आँचल	0
aandhi	आंधी	0
aandhiyon	आंधियों	0
aandolan	आंदोलन	0
aandolanon	आंदोलनों	0
aandolit	आंदोलित	0
aandre	आंद्रे	0
aane	आने	0
aanewaale	आनेवाले	0
aani	आनी	0
